Model,Year,Source,EV Range (km),Power (HP),Price (EUR),Battery (kWh),Fuel Consumption (L/100km),CO2 (g/km),Charge Time AC (h),Trunk Volume (L),Seats,Warranty (years),Gross Battery (kWh),Net Battery (kWh),System Power (HP),Electric Motor Power (HP),Acceleration 0-100 (sec),Weight (kg),Length (mm),Width (mm),Height (mm),Battery Technology,Battery Voltage (V),Engine Displacement (L)
Seat Leon IV Sportstourer 1.5 TSI,2024-2025,Scraped Data,131,204,,19.7 kWh,"0.4 l/100 km
							588.04 US mpg706.2 UK mpg250 km/l",9 g/km,,,,,25.8 kWh,19.7 kWh,272,116,7.9,1641,4642,1799,1456,Lithium-ion (Li-Ion),,1.498
Seat Leon IV 1.5 TSI,2024-2025,Scraped Data,133,204,,19.7 kWh,"0.4 l/100 km
							588.04 US mpg706.2 UK mpg250 km/l",8 g/km,,,,,25.8 kWh,19.7 kWh,272,116,7.7,1595,4368,1799,1460,Lithium-ion (Li-Ion),,1.498
Seat Tarraco 1.4 TSI,2024-2025,Scraped Data,49,150,,10.4 kWh,"1.6-2.1 l/100 km
							147.01 - 112.01 US mpg176.55 - 134.51 UK mpg62.5 - 47.62 km/l",37-47 g/km,,,,,13 kWh,10.4 kWh,245,117,7.5,1793,4735,1839,1658,Lithium-ion (Li-Ion),,1.395
Seat Leon IV Sportstourer 1.4 e-Hybrid,2024-2025,Scraped Data,63,150,,10.4 kWh,"1.1-1.2 l/100 km
							213.83 - 196.01 US mpg256.8 - 235.4 UK mpg90.91 - 83.33 km/l",26-28 g/km,,,,,12.8 kWh,10.4 kWh,204,116,7.7,1583,4642,1799,1448,Lithium-ion (Li-Ion),,1.395
Seat Leon IV 1.4 e-Hybrid,2024-2025,Scraped Data,64,150,,10.4 kWh,"1.1-1.2 l/100 km
							213.83 - 196.01 US mpg256.8 - 235.4 UK mpg90.91 - 83.33 km/l",25-27 g/km,,,,,12.8 kWh,10.4 kWh,204,116,7.5,1539,4368,1800,1456,Lithium-ion (Li-Ion),,1.395
