Model,Year,Source,EV Range (km),Power (HP),Price (EUR),Battery (kWh),Fuel Consumption (L/100km),CO2 (g/km),Charge Time AC (h),Trunk Volume (L),Seats,Warranty (years),Gross Battery (kWh),Net Battery (kWh),System Power (HP),Electric Motor Power (HP),Acceleration 0-100 (sec),Weight (kg),Length (mm),Width (mm),Height (mm),Battery Technology,Battery Voltage (V),Engine Displacement (L)
J7 Super Hybrid,2023,Local Data,100,200,40000,13,1.5,30,3,500,5,3,,,,,,,,,,NCM,,1.5
Omoda 9 Super Hybrid,2023,Local Data,100,200,40000,13,1.5,30,3,500,5,3,,,,,,,,,,NCM,,1.5
Jaecoo J7 SHS 1.5 TGDI,2024-2025,Scraped Data,91,143,,,"0.7-6 l/100 km
							336.02 - 39.2 US mpg403.54 - 47.08 UK mpg142.86 - 16.67 km/l",9-136 g/km,,,,,18.316 kWh,,347,204,8.5,1795,4500,1865,1670,Lithium iron phosphate (LiFePO4),339.2,1.499
