Model,Year,Source,EV Range (km),Power (HP),Price (EUR),Battery (kWh),Fuel Consumption (L/100km),CO2 (g/km),Charge Time AC (h),Trunk Volume (L),Seats,Warranty (years),Gross Battery (kWh),Net Battery (kWh),System Power (HP),Electric Motor Power (HP),Acceleration 0-100 (sec),Weight (kg),Length (mm),Width (mm),Height (mm),Battery Technology,Battery Voltage (V),Engine Displacement (L)
HS,2023,Local Data,75,192,32000,18.3,1.2,27,4,463,5,7,,,,,,,,,,NCM,,1.5
MG HS II 1.5T,2024-2025,Scraped Data,120,143,,23.2 kWh,"0.5 l/100 km
							470.43 US mpg564.96 UK mpg200 km/l",12 g/km,,,,,24.7 kWh,23.2 kWh,299,209,6.8,1850-1875,4670,1890,1663,Lithium iron phosphate (LiFePO4),,1.496
MG HS I,2024-2025,Scraped Data,32,162,,14.9 kWh,"1.8 l/100 km
							130.67 US mpg156.93 UK mpg55.56 km/l",43 g/km,,,,,16.6 kWh,14.9 kWh,258,122,,1737-1775,4610,1876,1685,Lithium-ion (Li-Ion),,1.49
MG Pilot 1.5T,2024-2025,Scraped Data,,169,,,,,,,,,16.6 kWh,,291,122,,1775,4610,1876,1685,Lithium-ion (Li-Ion),,1.49
MG MG6 II,2024-2025,Scraped Data,,,,,,,,,,,11.1 kWh,,305,,,1530,4704,1848,1463,Lithium-ion (Li-Ion),,1.49
MG HS I EHS 1.5 T-GDI,2024-2025,Scraped Data,52,162,,14.9 kWh,"1.8 l/100 km
							130.67 US mpg156.93 UK mpg55.56 km/l",43 g/km,,,,,16.6 kWh,14.9 kWh,258,122,,1737-1775,4574,1876,1664,Lithium-ion (Li-Ion),,1.49
MG MG6 II 45T,2024-2025,Scraped Data,,,,,,,,,,,9.1 kWh,,228,,,1465,4695,1848,1458,,,0.999
