Model,Year,Source,EV Range (km),Power (HP),Price (EUR),Battery (kWh),Fuel Consumption (L/100km),CO2 (g/km),Charge Time AC (h),Trunk Volume (L),Seats,Warranty (years),Weight (kg),Length (mm),Width (mm),Height (mm),Wheelbase (mm),Max Trunk Volume (L),Electric Motor Power (HP),Engine Displacement (L),Battery Chemistry,Battery Voltage (V),Charging Port,Emission Standard
Astra PHEV,2025,cars.json,65,180,35000,12.4,1.4,32,3,422,5,3,,,,,,,,1.6,NCM,,"{'ac_type': 'Type 2 AC (Mennekes)', 'ac_location': 'Front left'}",
Grandland,2025,cars.json,59,225,40000,13.2,1.6,36,3,514,5,3,,,,,,,,1.6,NCM,,"{'ac_type': 'Type 2 AC (Mennekes)', 'ac_location': 'Front left'}",
